id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
19507,KCKM,small_airport,Fletcher Field,34.29970169,-90.51229858,173,NA,US,US-MS,Clarksdale,no,KCKM,CKM,CKM
19508,KCKN,small_airport,Crookston Municipal Kirkwood Field,47.84170151,-96.62159729,899,NA,US,US-MN,Crookston,no,KCKN,CKN,CKN
19510,KCKV,small_airport,Clarksville–Montgomery County Regional Airport,36.62189865,-87.41500092,550,NA,US,US-TN,Clarksville,no,KCKV,CKV,CKV
19511,KCL,small_airport,Chignik Lagoon Airport,56.31119919,-158.5359955,25,NA,US,US-AK,Chignik Flats,no,KCL,KCL,KCL
3454,KCLE,large_airport,Cleveland Hopkins International Airport,41.4117012,-81.84980011,791,NA,US,US-OH,Cleveland,yes,KCLE,CLE,CLE
19512,KCLI,small_airport,Clintonville Municipal Airport,44.61380005,-88.73130035,822,NA,US,US-WI,Clintonville,no,KCLI,CLI,CLI
19513,KCLK,small_airport,Clinton Regional Airport,35.53829956,-98.93270111,1616,NA,US,US-OK,Clinton,no,KCLK,CLK,CLK
3455,KCLL,medium_airport,Easterwood Field,30.58860016,-96.36380005,320,NA,US,US-TX,College Station,yes,KCLL,CLL,CLL
3456,KCLM,medium_airport,William R Fairchild International Airport,48.12020111,-123.5,291,NA,US,US-WA,Port Angeles,yes,KCLM,CLM,CLM
19514,KCLR,small_airport,Cliff Hatfield Memorial Airport,33.13150024,-115.5210037,-182,NA,US,US-CA,Calipatria,no,KCLR,CLR,CLR
19515,KCLS,small_airport,Chehalis Centralia Airport,46.67699814,-122.9830017,176,NA,US,US-WA,Chehalis,no,KCLS,CLS,CLS
3457,KCLT,large_airport,Charlotte Douglas International Airport,35.2140007,-80.94309998,748,NA,US,US-NC,Charlotte,yes,KCLT,CLT,CLT
19516,KCLW,small_airport,Clearwater Air Park,27.97669983,-82.75869751,71,NA,US,US-FL,Clearwater,no,KCLW,CLW,CLW
3458,KCMH,large_airport,John Glenn Columbus International Airport,39.998001,-82.891899,815,NA,US,US-OH,Columbus,yes,KCMH,CMH,CMH
3459,KCMI,medium_airport,University of Illinois Willard Airport,40.03919983,-88.27809906,755,NA,US,US-IL,Savoy,yes,KCMI,CMI,CMI
3460,KCMX,medium_airport,Houghton County Memorial Airport,47.16839981,-88.4890976,1095,NA,US,US-MI,Hancock,yes,KCMX,CMX,CMX
19519,KCMY,small_airport,Sparta Fort Mc Coy Airport,43.958302,-90.7379,837,NA,US,US-WI,Sparta,no,KCMY,CMY,CMY
19520,KCN,seaplane_base,Chernofski Harbor Seaplane Base,53.40289934,-167.5202715,0,NA,US,US-AK,Chernofski Harbor,no,KCN,KCN,KCN
19523,KCNH,small_airport,Claremont Municipal Airport,43.37039948,-72.36869812,545,NA,US,US-NH,Claremont,no,KCNH,CNH,CNH
19524,KCNK,small_airport,Blosser Municipal Airport,39.54930115,-97.65229797,1486,NA,US,US-KS,Concordia,no,KCNK,CNK,CNK
3461,KCNM,medium_airport,Cavern City Air Terminal,32.33750153,-104.2630005,3295,NA,US,US-NM,Carlsbad,yes,KCNM,CNM,CNM
